1,1,1,0,1,0,6,628333
10,4,476,12,173,0.06936416185,2889,0
10,3,713,41,669,0.06128550075,7901,0
2,2,53,3,58,0.05172413793,553,700000
4,1,277,65,721,0.09015256588,4219,4250000
1,1,1,0,0,0,8,0
1,1,67,6,92,0.0652173913,864,894166
1,1,36,4,41,0.09756097561,415,675000
5,4,258,23,224,0.1026785714,2477,717500
5,2,135,7,120,0.05833333333,1516,0
10,1,746,266,2280,0.1166666667,13917,7000000
1,1,5,0,5,0,38,0
10,4,679,292,2028,0.1439842209,13465,0
9,2,501,78,995,0.0783919598,6822,0
9,1,551,117,1011,0.115727003,9807,7250000
8,3,499,129,1038,0.1242774566,8266,3812500
1,1,3,0,1,0,28,0
1,1,55,3,62,0.04838709677,649,612500
7,3,410,38,559,0.06797853309,5050,2650000
10,3,376,36,360,0.1,4029,1300000
5,1,362,89,797,0.1116687578,6623,6500000
8,2,483,100,920,0.1086956522,7700,5000000
4,2,149,15,198,0.07575757576,1950,800000
3,1,74,14,128,0.109375,933,775000
8,3,488,56,663,0.08446455505,6338,1350000
10,1,771,206,2081,0.09899086977,14078,5875000
2,1,139,26,240,0.1083333333,2173,925000
10,3,454,89,879,0.1012514221,5711,2000000
2,2,41,3,23,0.1304347826,373,700000
10,2,765,301,2710,0.1110701107,15817,4125000
6,4,143,5,146,0.03424657534,1339,575000
6,3,361,109,1214,0.08978583196,6499,5250000
4,1,220,30,293,0.1023890785,2941,866250
4,1,18,1,26,0.03846153846,164,575000
4,1,281,80,815,0.0981595092,5252,5571428
2,1,5,0,9,0,49,675000
2,1,4,0,2,0,32,700000
10,2,719,68,866,0.07852193995,9168,1500000
10,1,774,167,1235,0.1352226721,14758,7000000
10,1,696,259,2594,0.099845798,13979,6083333
4,1,120,7,200,0.035,1442,950000
1,1,33,4,38,0.1052631579,455,925000
4,1,207,62,428,0.1448598131,3413,2350000
3,2,181,33,442,0.07466063348,2790,3750000
7,1,531,124,1213,0.1022258862,8674,4250000
6,2,406,122,1134,0.1075837743,6925,4250000
7,3,366,69,656,0.1051829268,4859,2950000
8,1,470,77,740,0.1040540541,6823,2500000
8,1,488,26,352,0.07386363636,3842,1700000
11,4,766,339,2513,0.1348985277,15685,5333333
10,2,657,239,1798,0.1329254727,12634,7500000
4,1,98,29,208,0.1394230769,1332,900250
3,1,87,14,142,0.0985915493,1099,900000
10,3,718,283,2451,0.1154630763,13045,5272727
5,1,336,115,1093,0.1052150046,5796,5725000
7,2,129,13,137,0.09489051095,1370,0
10,2,584,67,762,0.08792650919,6458,0
10,3,592,144,951,0.1514195584,8783,4000000
1,2,69,9,85,0.1058823529,936,925000
4,1,176,14,198,0.07070707071,2182,815000
10,5,150,19,198,0.09595959596,1781,0
2,2,54,1,68,0.01470588235,604,605000
5,2,160,19,159,0.1194968553,2330,1275000
1,1,1,0,0,0,15,894166
9,4,517,97,838,0.11575179,8160,3275000
10,4,580,181,1554,0.1164736165,9692,5250000
10,1,600,187,1604,0.1165835411,10052,3954545
7,6,274,5,102,0.04901960784,1955,575000
